frame,id,team,jersey,x_center,y_center,dist_to_ball,nearest_ids,nearest_dists
1,13,green,,227.72,339.47,,"[7, 12, 11]","[5.12, 11.83, 13.04]"
1,10,green,,405.99,18.05,,"[6, 9, 8]","[9.12, 13.6, 15.0]"
1,9,green,,392.39,18.2,,"[8, 10, 6]","[1.4, 13.6, 22.72]"
1,8,green,,390.99,18.19,,"[9, 10, 6]","[1.4, 15.0, 24.12]"
1,7,green,,224.09,335.87,,"[13, 11, 12]","[5.12, 15.77, 15.98]"
1,6,green,,415.1,18.49,,"[10, 9, 8]","[9.12, 22.72, 24.12]"
1,3,black,,106.7,269.86,,"[5, 2, 7]","[45.32, 106.06, 134.67]"
1,2,green,,35.69,191.08,,"[5, 3, 7]","[73.05, 106.06, 237.6]"
1,1,green,,335.62,194.04,,"[4, 7, 13]","[31.71, 180.43, 181.1]"
2,10,green,,407.11,18.82,,"[9, 4, 1]","[10.94, 163.9, 192.08]"
2,9,green,,396.19,18.19,,"[10, 4, 1]","[10.94, 159.58, 188.69]"
2,7,green,,229.51,335.77,,"[12, 3, 5]","[15.49, 132.83, 163.71]"
2,3,black,,115.2,268.1,,"[5, 2, 7]","[42.69, 106.37, 132.83]"
2,2,green,,40.26,192.62,,"[5, 3, 7]","[75.56, 106.37, 237.29]"
2,1,black,,332.4,195.77,,"[4, 7, 12]","[32.84, 173.74, 185.1]"
3,72,other,,103.83,193.71,,"[20, 51, 45]","[5.14, 6.47, 15.19]"
3,71,other,,312.9,156.83,,"[52, 50, 68]","[38.27, 39.69, 39.74]"
3,70,other,,446.57,248.13,,"[60, 61, 29]","[34.37, 38.53, 57.31]"
3,69,green,,243.02,124.33,,"[16, 50, 71]","[31.48, 50.2, 77.07]"
3,68,other,,350.2,170.56,,"[71, 52, 28]","[39.74, 47.62, 52.35]"
3,67,green,,302.83,274.57,,"[22, 19, 41]","[51.9, 51.92, 52.47]"
3,66,green,,483.5,322.16,,"[18, 25, 60]","[26.5, 51.51, 51.6]"
3,65,other,,196.94,211.44,,"[35, 32, 48]","[41.07, 42.58, 46.95]"
3,64,green,,200.71,348.26,,"[17, 47, 37]","[81.54, 105.29, 113.38]"
3,63,other,,551.9,184.77,,"[46, 40, 21]","[61.21, 62.91, 66.55]"
3,62,other,,125.71,211.26,,"[51, 72, 20]","[28.02, 28.06, 29.68]"
3,61,black,,417.97,273.95,,"[29, 23, 70]","[21.36, 32.14, 38.53]"
3,60,black,,471.26,272.04,,"[70, 18, 66]","[34.37, 46.87, 51.6]"
3,59,other,,245.36,231.94,,"[48, 32, 37]","[8.23, 10.29, 11.38]"
3,58,other,,327.48,353.84,,"[44, 22, 41]","[31.02, 31.88, 32.37]"
3,57,green,,359.19,321.45,,"[36, 38, 39]","[3.61, 7.49, 13.17]"
3,56,black,,397.83,340.85,,"[33, 49, 54]","[3.6, 8.94, 9.54]"
3,55,black,,414.88,342.18,,"[33, 54, 31]","[14.13, 15.42, 15.78]"
3,54,black,,402.74,332.67,,"[49, 33, 56]","[3.85, 6.8, 9.54]"
3,53,other,,537.92,264.18,,"[27, 21, 40]","[14.63, 16.58, 21.64]"
3,52,black,,309.28,194.92,,"[28, 71, 68]","[6.03, 38.27, 47.62]"
3,51,other,,108.46,189.19,,"[72, 45, 20]","[6.47, 9.63, 11.59]"
3,50,other,,293.18,122.39,,"[71, 16, 69]","[39.69, 43.16, 50.2]"
3,49,black,,398.95,331.98,,"[54, 33, 56]","[3.85, 7.58, 8.94]"
3,48,other,,237.65,234.82,,"[37, 59, 32]","[7.23, 8.23, 8.81]"
3,47,other,,238.1,249.83,,"[37, 48, 59]","[8.2, 15.02, 19.31]"
3,46,green,,530.44,242.09,,"[40, 21, 27]","[1.8, 6.75, 9.66]"
3,45,other,,109.52,179.62,,"[30, 51, 72]","[5.33, 9.63, 15.19]"
3,44,other,,323.68,323.05,,"[41, 22, 39]","[3.08, 11.04, 23.3]"
3,43,green,,373.8,350.93,,"[56, 33, 49]","[26.06, 29.65, 31.49]"
3,42,black,,620.49,346.7,,"[26, 24, 25]","[6.51, 46.43, 96.17]"
3,41,other,,326.33,321.49,,"[44, 22, 39]","[3.08, 14.01, 20.94]"
3,40,green,,530.41,243.89,,"[46, 21, 27]","[1.8, 5.1, 7.86]"
3,39,green,,346.8,325.89,,"[57, 36, 38]","[13.17, 16.57, 20.62]"
3,38,black,,366.52,319.87,,"[36, 57, 39]","[4.71, 7.49, 20.62]"
3,37,other,,239.64,241.77,,"[48, 47, 59]","[7.23, 8.2, 11.38]"
3,36,black,,361.88,319.04,,"[57, 38, 39]","[3.61, 4.71, 16.57]"
3,35,other,,236.57,222.2,,"[32, 48, 59]","[3.86, 12.67, 13.13]"
3,34,green,,118.44,104.97,,"[30, 45, 51]","[69.85, 75.18, 84.81]"
3,33,black,,401.05,339.26,,"[56, 54, 49]","[3.6, 6.8, 7.58]"
3,32,other,,236.94,226.04,,"[35, 48, 59]","[3.86, 8.81, 10.29]"
3,31,referee,,413.17,326.49,,"[54, 49, 55]","[12.12, 15.24, 15.78]"
3,30,other,,110.42,174.37,,"[45, 51, 72]","[5.33, 14.96, 20.43]"
3,29,other,,396.76,276.48,,"[23, 61, 15]","[15.79, 21.36, 24.74]"
3,28,other,,307.35,200.64,,"[52, 71, 68]","[6.03, 44.17, 52.35]"
3,27,green,,530.23,251.74,,"[21, 40, 46]","[4.08, 7.86, 9.66]"
3,26,black,,613.98,346.66,,"[42, 24, 25]","[6.51, 39.94, 89.68]"
3,25,green,,524.54,353.29,,"[24, 66, 18]","[49.74, 51.51, 52.0]"
3,24,green,,574.15,349.64,,"[26, 42, 25]","[39.94, 46.43, 49.74]"
3,23,black,,390.79,291.1,,"[29, 15, 61]","[15.79, 19.34, 32.14]"
3,22,other,,312.91,325.48,,"[44, 41, 58]","[11.04, 14.01, 31.88]"
3,21,green,,532.65,248.47,,"[27, 40, 46]","[4.08, 5.1, 6.75]"
3,20,other,,99.77,196.86,,"[72, 51, 45]","[5.14, 11.59, 19.81]"
3,19,other,,346.47,302.71,,"[36, 57, 39]","[22.46, 22.65, 23.19]"
3,18,black,,504.09,305.48,,"[66, 60, 25]","[26.5, 46.87, 52.0]"
3,17,green,,282.25,347.98,,"[22, 58, 44]","[38.03, 45.6, 48.34]"
3,16,other,,260.46,150.53,,"[69, 50, 71]","[31.48, 43.16, 52.82]"
3,15,other,,373.02,283.47,,"[23, 29, 19]","[19.34, 24.74, 32.79]"
3,14,green,,374.59,222.52,,"[68, 29, 15]","[57.41, 58.34, 60.97]"
6,71,green,,322.07,159.25,,"[68, 50, 28]","[38.05, 43.35, 44.92]"
6,70,other,,453.08,251.92,,"[60, 61, 27]","[31.16, 40.35, 72.51]"
6,69,green,,249.79,125.0,,"[16, 50, 71]","[31.34, 45.24, 79.99]"
6,68,green,,358.27,170.99,,"[71, 28, 14]","[38.05, 57.2, 57.78]"
6,67,green,,307.03,274.61,,"[19, 44, 41]","[48.83, 52.22, 53.44]"
6,66,black,,491.37,325.2,,"[18, 25, 60]","[25.1, 44.61, 54.32]"
6,64,other,,209.19,350.06,,"[44, 41, 47]","[111.71, 120.54, 123.26]"
6,63,other,,552.77,186.34,,"[27, 60, 70]","[68.43, 115.91, 119.33]"
6,62,other,,135.63,209.1,,"[51, 30, 48]","[26.83, 33.52, 113.24]"
6,61,black,,421.32,276.81,,"[23, 70, 15]","[33.04, 40.35, 49.54]"
6,60,black,,475.93,273.12,,"[70, 18, 66]","[31.16, 46.08, 54.32]"
6,51,other,,112.29,195.87,,"[30, 62, 48]","[23.74, 26.83, 138.64]"
