epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.33,1.56025,2.12635,1.00196,0.0683,0.9119,0.61906,0.34104,1.46434,2.55673,0.96089,0.00042,0.00042,0.00042
2,242.509,1.34504,0.92225,0.94957,0.92133,0.58855,0.80082,0.49427,1.29831,1.644,0.96623,0.00083162,0.00083162,0.00083162
3,353.292,1.29885,0.85649,0.9379,0.8777,0.80606,0.89132,0.55635,1.22552,1.20036,0.92627,0.0012142,0.0012142,0.0012142
4,470.172,1.29452,0.82021,0.93636,0.82282,0.72688,0.77921,0.44804,1.35183,1.33651,1.01029,0.00156774,0.00156774,0.00156774
5,594.409,1.23012,0.77949,0.92615,0.88349,0.86093,0.9042,0.57266,1.16754,0.91111,0.90909,0.001736,0.001736,0.001736
6,717.288,1.24875,0.75619,0.92714,0.886,0.85892,0.90925,0.5706,1.14304,0.78034,0.90769,0.00167,0.00167,0.00167
7,837.868,1.18688,0.73439,0.90775,0.90789,0.8654,0.91062,0.61799,1.06298,0.72382,0.89941,0.001604,0.001604,0.001604
8,961.65,1.18344,0.70579,0.90304,0.90801,0.86966,0.91728,0.61627,1.12176,0.71569,0.90523,0.001538,0.001538,0.001538
9,1084.78,1.1999,0.70423,0.90829,0.9175,0.88556,0.92965,0.645,1.02478,0.69013,0.88974,0.001472,0.001472,0.001472
10,1208.55,1.13129,0.66368,0.89799,0.91611,0.89932,0.93299,0.64933,1.03426,0.62886,0.8887,0.001406,0.001406,0.001406
11,1330.3,1.11734,0.64877,0.8935,0.92009,0.88544,0.9327,0.64251,1.0298,0.61081,0.88759,0.00134,0.00134,0.00134
12,1460.37,1.09642,0.63804,0.89275,0.91167,0.89131,0.93661,0.65364,0.99447,0.62415,0.8815,0.001274,0.001274,0.001274
13,1594.15,1.08253,0.6268,0.88686,0.92172,0.9007,0.93716,0.66299,0.9611,0.57645,0.87865,0.001208,0.001208,0.001208
14,1722.78,1.08075,0.62538,0.88658,0.92707,0.90645,0.94636,0.66077,0.97636,0.59996,0.87625,0.001142,0.001142,0.001142
15,1844.86,1.08333,0.6139,0.88044,0.9408,0.90342,0.95018,0.68256,0.9285,0.56192,0.86719,0.001076,0.001076,0.001076
16,1960.42,1.02126,0.58522,0.87426,0.93929,0.9134,0.9494,0.6848,0.93983,0.55887,0.86666,0.00101,0.00101,0.00101
17,2076.09,0.98734,0.57129,0.87607,0.93464,0.89222,0.94854,0.67547,0.94246,0.57295,0.87309,0.000944,0.000944,0.000944
18,2195.35,1.00721,0.57362,0.87654,0.94502,0.90033,0.94904,0.67212,0.98499,0.54951,0.86849,0.000878,0.000878,0.000878
19,2314.89,1.01217,0.56651,0.87502,0.92462,0.90244,0.9472,0.67948,0.94532,0.54423,0.86558,0.000812,0.000812,0.000812
20,2436.74,1.01801,0.5716,0.87261,0.94832,0.90403,0.94981,0.69656,0.89599,0.52051,0.86049,0.000746,0.000746,0.000746
21,2552.53,0.96194,0.59977,0.87183,0.93637,0.88208,0.94308,0.68307,0.9141,0.56467,0.86102,0.00068,0.00068,0.00068
22,2664.36,0.94194,0.56884,0.86636,0.94012,0.90524,0.9473,0.68642,0.91808,0.53797,0.86332,0.000614,0.000614,0.000614
23,2778.84,0.91872,0.54625,0.87016,0.94802,0.901,0.95107,0.69765,0.90402,0.52091,0.85929,0.000548,0.000548,0.000548
24,2891.37,0.91955,0.54359,0.86239,0.95395,0.89949,0.95151,0.69391,0.90523,0.52014,0.86146,0.000482,0.000482,0.000482
25,3002.52,0.9118,0.53209,0.85816,0.95475,0.90736,0.9537,0.69747,0.89743,0.51354,0.85915,0.000416,0.000416,0.000416
26,3116.55,0.90539,0.52143,0.85964,0.94317,0.90947,0.94701,0.6889,0.92419,0.50874,0.86144,0.00035,0.00035,0.00035
27,3231.88,0.89754,0.52369,0.85919,0.9505,0.91583,0.95252,0.69986,0.8854,0.50246,0.85701,0.000284,0.000284,0.000284
28,3347.95,0.89677,0.51579,0.85995,0.94505,0.91735,0.9549,0.70154,0.88692,0.4976,0.85875,0.000218,0.000218,0.000218
29,3465.66,0.89452,0.51332,0.85554,0.9518,0.91479,0.9532,0.70276,0.89129,0.48888,0.8561,0.000152,0.000152,0.000152
30,3580.14,0.88043,0.5081,0.85424,0.9489,0.91644,0.95508,0.70424,0.87782,0.4883,0.85707,8.6e-05,8.6e-05,8.6e-05
