epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.209,1.9387,2.59159,1.42467,0.05222,0.32708,0.13103,0.06265,1.81009,3.0436,1.30448,0.0004,0.0004,0.0004
2,389.148,1.76548,1.62923,1.32332,0.64362,0.2327,0.22603,0.10229,1.88459,2.30044,1.36984,0.000792391,0.000792391,0.000792391
3,585.382,1.70469,1.46141,1.2995,0.64176,0.36641,0.30193,0.14288,1.74949,1.66312,1.31284,0.00116436,0.00116436,0.00116436
4,777.394,1.67384,1.35846,1.27393,0.44877,0.38455,0.32995,0.15872,1.73741,1.4864,1.30328,0.00115719,0.00115719,0.00115719
5,970.641,1.63898,1.36764,1.27368,0.61222,0.39694,0.36303,0.16795,1.75425,1.37177,1.26657,0.00112625,0.00112625,0.00112625
6,1163.19,1.65806,1.33984,1.2628,0.46763,0.38258,0.36611,0.16307,1.84036,1.41272,1.32711,0.00109531,0.00109531,0.00109531
7,1361.3,1.6051,1.27188,1.23881,0.55332,0.40633,0.45637,0.22249,1.67169,1.41221,1.26936,0.00106437,0.00106437,0.00106437
8,1537.31,1.57151,1.19644,1.24144,0.63712,0.45326,0.46776,0.22716,1.67184,1.23812,1.23531,0.00103344,0.00103344,0.00103344
9,1705.35,1.54184,1.12399,1.2165,0.6979,0.52846,0.55081,0.26788,1.69624,1.14997,1.25527,0.0010025,0.0010025,0.0010025
10,1879.93,1.5512,1.09175,1.22373,0.778,0.51204,0.56789,0.2902,1.65102,1.10643,1.24229,0.000971562,0.000971562,0.000971562
11,2057.2,1.47124,1.03066,1.18973,0.82914,0.54722,0.62966,0.32259,1.66195,1.06379,1.25373,0.000940625,0.000940625,0.000940625
12,2235.86,1.51006,1.01317,1.19288,0.71784,0.55556,0.60733,0.30177,1.66956,1.10526,1.24488,0.000909688,0.000909688,0.000909688
13,2448.17,1.5213,1.0225,1.20459,0.78605,0.56618,0.631,0.31782,1.61817,1.02304,1.21426,0.00087875,0.00087875,0.00087875
14,2666.11,1.46647,0.95299,1.18014,0.8512,0.55555,0.6274,0.31795,1.61833,1.01617,1.23594,0.000847813,0.000847813,0.000847813
15,2847.92,1.43528,0.93102,1.15059,0.77631,0.59066,0.65622,0.3407,1.61744,0.98676,1.22285,0.000816875,0.000816875,0.000816875
16,3020.6,1.44295,0.93873,1.16732,0.83309,0.58086,0.64078,0.32426,1.65871,1.02088,1.24354,0.000785938,0.000785938,0.000785938
17,3196.79,1.43487,0.91067,1.1539,0.73467,0.61475,0.65132,0.33556,1.63036,0.93675,1.21032,0.000755,0.000755,0.000755
18,3372.29,1.41569,0.89188,1.15371,0.79465,0.58414,0.64604,0.3299,1.62698,0.93532,1.21278,0.000724062,0.000724062,0.000724062
19,3546.88,1.37531,0.87559,1.14248,0.82865,0.55099,0.65403,0.33693,1.60549,0.90157,1.21279,0.000693125,0.000693125,0.000693125
20,3720.65,1.37505,0.86045,1.131,0.83015,0.61349,0.65863,0.33499,1.70092,0.94822,1.23884,0.000662188,0.000662188,0.000662188
21,3898.67,1.35024,0.84713,1.12334,0.76427,0.6224,0.66551,0.33642,1.64068,0.90669,1.21688,0.00063125,0.00063125,0.00063125
22,4099.89,1.35792,0.83075,1.12803,0.66781,0.58373,0.62144,0.31487,1.67707,0.94293,1.24426,0.000600313,0.000600313,0.000600313
23,4297.2,1.3504,0.83066,1.1171,0.79898,0.65377,0.69503,0.35855,1.63544,0.88121,1.21661,0.000569375,0.000569375,0.000569375
24,4485.95,1.33562,0.80813,1.10969,0.86848,0.60288,0.67322,0.34677,1.56636,0.86897,1.19029,0.000538438,0.000538438,0.000538438
25,4671.48,1.30165,0.80899,1.10636,0.82748,0.60557,0.6622,0.33943,1.64113,0.86353,1.2103,0.0005075,0.0005075,0.0005075
26,4860.42,1.31428,0.79702,1.09939,0.8777,0.62545,0.68857,0.35496,1.63841,0.87893,1.22212,0.000476562,0.000476562,0.000476562
27,5056.55,1.32375,0.79859,1.10501,0.82671,0.64077,0.6751,0.34539,1.65665,0.84635,1.23492,0.000445625,0.000445625,0.000445625
28,5268.63,1.29576,0.77371,1.09553,0.8431,0.60367,0.68147,0.34399,1.65451,0.85541,1.22301,0.000414688,0.000414688,0.000414688
29,5457.4,1.25634,0.7672,1.09711,0.85182,0.62048,0.68396,0.35933,1.60628,0.82725,1.19472,0.00038375,0.00038375,0.00038375
30,5641.92,1.24946,0.76091,1.08576,0.85331,0.64156,0.69499,0.35675,1.61878,0.8197,1.21016,0.000352812,0.000352812,0.000352812
31,5820.24,1.23078,0.73015,1.07568,0.80997,0.60802,0.66573,0.34347,1.62896,0.84308,1.22465,0.000321875,0.000321875,0.000321875
32,6001.87,1.20039,0.6959,1.05514,0.78107,0.64188,0.66408,0.33991,1.63024,0.84086,1.21656,0.000290937,0.000290937,0.000290937
33,6175.57,1.1901,0.69076,1.04502,0.79778,0.59779,0.6703,0.34925,1.61596,0.83378,1.2071,0.00026,0.00026,0.00026
34,6362.83,1.17848,0.68201,1.04457,0.81109,0.61153,0.67737,0.33983,1.63395,0.83177,1.21657,0.000229063,0.000229063,0.000229063
35,6550.33,1.14978,0.66202,1.03358,0.76059,0.64609,0.68829,0.34687,1.64937,0.8209,1.22635,0.000198125,0.000198125,0.000198125
36,6740.29,1.13355,0.65822,1.03026,0.82102,0.66104,0.69667,0.35134,1.62053,0.79553,1.21744,0.000167188,0.000167188,0.000167188
